"","id","cos_sim_1yr","cos_sim_2yr"
"1","930036",NA,NA
"2","930085",NA,NA
"3","930144",NA,NA
"4","930278",NA,NA
"5","931221",NA,NA
"6","932031",NA,NA
"7","932117",NA,NA
"8","932520",NA,NA
"9","932853",NA,NA
"10","932984",NA,NA
"11","933007",NA,NA
"12","933119",NA,NA
"13","934380",NA,NA
"14","934443",NA,NA
"15","934872",NA,NA
"16","935677",NA,NA
"17","937715",NA,NA
"18","937748",NA,NA
"19","938028",NA,NA
"20","938068",NA,NA
"21","938207",NA,NA
"22","938400",NA,NA
"23","938508",NA,NA
"24","938877",NA,NA
"25","939405",NA,NA
"26","939465",NA,NA
"27","940567",NA,NA
"28","942280",NA,NA
"29","942874",NA,NA
"30","926596",NA,NA
"31","928376",NA,NA
"32","928546",NA,NA
"33","930280",NA,NA
"34","932882",NA,NA
"35","933037",NA,NA
"36","933078",NA,NA
"37","936034",NA,NA
"38","939097",NA,NA
"39","939451",NA,NA
"40","939458",NA,NA
"41","941882",NA,NA
"42","941951",NA,NA
"43","941960",NA,NA
"44","942059",NA,NA
"45","942198",NA,NA
"46","942282",NA,NA
"47","942291",NA,NA
"48","942420",NA,NA
"49","942960",NA,NA
"50","943273",NA,NA
"51","943494",NA,NA
"52","943732",NA,NA
"53","943951",NA,NA
"54","945943",NA,NA
"55","946162",NA,NA
"56","946208",NA,NA
"57","946617",NA,NA
"58","950874",NA,NA
"59","950878",NA,NA
"60","951897",NA,NA
"61","929198",NA,NA
"62","929914",NA,NA
"63","938954",NA,NA
"64","939462",NA,NA
"65","942025",NA,NA
"66","942350",NA,NA
"67","942937",NA,NA
"68","943672",NA,NA
"69","943679",NA,NA
"70","943806",NA,NA
"71","944568",NA,NA
"72","944706",NA,NA
"73","944924",NA,NA
"74","945121",NA,NA
"75","945905",NA,NA
"76","946788",NA,NA
"77","948959",NA,NA
"78","950974",NA,NA
"79","951867",NA,NA
"80","952337",NA,NA
"81","952370",NA,NA
"82","952373",NA,NA
"83","952858",NA,NA
"84","954263",NA,NA
"85","955120",NA,NA
"86","955125",NA,NA
"87","956191",NA,NA
"88","956856",NA,NA
"89","957999",NA,NA
"90","958890",NA,NA
"91","958956",NA,NA
"92","959196",NA,NA
"93","959216",NA,NA
"94","959272",NA,NA
"95","959942",NA,NA
"96","960116",NA,NA
"97","960171",NA,NA
"98","960216",NA,NA
"99","960443",NA,NA
"100","961274",NA,NA
"101","978268",NA,NA
"102","605976",0.225876975726313,0.250244498835942
"103","606544",0.124611196569807,0.0862838784660538
"104","928006",0.302371578407382,0.340225549683639
"105","939336",0.260820265478651,0.379256663011154
"106","939413",0.0563436169819011,0.175561720794196
"107","942006",0.246783823698187,0.189865812289311
"108","942955",0.138013111868471,0.191127393026999
"109","943397",0.203289278153682,0.328445904722174
"110","943500",0.0822612745660623,0.189865812289311
"111","943928",0.234738238930786,0.307017298628077
"112","946345",0.127775312999988,0.243305675362095
"113","950186",0.165748386032949,0.2065829169622
"114","952493",0.215141149680191,0.231729648808663
"115","957923",0.0903507902905251,0.0625611247089855
"116","957984",0,0.135147475679897
"117","960403",0.280305955290694,0.299958486127249
"118","960494",0.0617213399848368,0.0641060764756033
"119","960509",0,0.0413802944301184
"120","960554",0.0903507902905251,0.187683374126956
"121","961275",0.144942758913112,0.200723911475925
"122","961285",0.112687233963802,0.175561720794196
"123","961686",0.298807152333599,0.289662061010829
"124","975240",0.14414999403129,0.149719538551785
"125","976418",0.191662969499982,0.243305675362095
"126","976803",0.199204768222399,0.24828176658071
"127","980491",0.338061701891407,0.33161658372237
"128","981379",0.260896966043602,0.281013476066295
"129","988809",0.219363398842833,0.265812137205035
"130","989132",0.18070158058105,0.281525061190435
"131","989150",0.0579771035652449,0.140506738033148
"132","991065",0.132598708826359,0.183629259521956
"133","995071",0.159719141249985,0.265424373122285
"134","996092",0.320713490294909,0.296093284079042
"135","997056",0.219363398842833,0.265812137205035
"136","997663",0.260896966043602,0.281013476066295
"137","997755",0.159719141249985,0.309661768642666
"138","531290",0.114208048144032,0.10215078369105
"139","605302",0.0695048046856916,0.0621669872160209
"140","606288",0,0.0761386987626881
"141","609595",0.222277112237194,0.238572831746263
"142","611664",0.0557278212575353,0.124611196569807
"143","611671",0.188608384038579,0.224928622846213
"144","612247",0,0.0466252404120157
"145","614909",0.120385853085769,0.134595475514541
"146","615288",0.233126202060078,0.145960089839952
"147","615426",0.16151457061745,0.409311900491615
"148","618245",0.0538381902058166,0.168540194320077
"149","618770",0.180578779628654,0.215352760823266
"150","622414",0.0601929265428846,0.0807572853087248
"151","625528",0.133366267342316,0.238572831746263
"152","625933",0.0932504808240314,0.0834057656228299
"153","626268",0.0851256530758749,0.209381421597392
"154","626631",0.196589274873196,0.285731538471508
"155","628136",0,0
"156","628357",0.115662986393248,0.232767270050342
"157","631685",0.0521286035142687,0.116563101030039
"158","631936",0.0851256530758749,0.152277397525376
"159","632145",0.228416096288064,0.289427220457975
"160","632513",0,0.0310834936080105
"161","632874",0.111455642515071,0.174455675197729
"162","632899",0.0695048046856916,0.0932504808240314
"163","640253",0.111455642515071,0.299066871767536
"164","648826",0,0.0538381902058165
"165","944089",0.104257207028537,0.0932504808240314
"166","952594",0.260869565217391,0.311105109913014
"167","954855",0.125738922692386,0.25304470070199
"168","955480",0.049147318718299,0.109896745565964
"169","958268",0,0.15385544379235
"170","960633",0.294883912309794,0.263752189358315
"171","974869",0.196589274873196,0.175834792905543
"172","981375",0,0.196812544990437
"173","988768",0.147441956154897,0.175834792905543
"174","989945",0.107676380411633,0.313003218023
"175","991428",0.270604036596695,0.302544510408026
"176","996489",0.173494479589872,0.103452120022374
"177","996557",0.173913043478261,0.272216971173887
"178","997308",0.049147318718299,0.15385544379235
"179","999483",0.0695048046856916,0.0932504808240314
"180","605579",0.220755392844174,0.148087219439773
"181","605604",0.248451997499977,0.266666666666667
"182","605975",0.0496903994999953,0.2
"183","605993",0.25717224993682,0.276026223736942
"184","611500",0.213003216807565,0.285773803324704
