"","win","decide_choose","trap","destroy_devastate_wreck","dismember_mutilate","shoot","hack_and_slash","burn_ignite","defend","explode_blast","combat","mini_game","command_lead","strategy_tactics","attack","stop","battle","move_special_move","expertise_mastery"
"617322",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"622895",0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"623309",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"623998",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
"978357",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"995078",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
"997722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
