"","baseball","challenge","compete","golf","strategy_tactics","command_lead","journey","skill_technique","hit_strike_blow","perform_entertain","basketball","attack","soccer","defend","contest_match","fast","swing","shot_sports","throw","avoid","move_special_move"
"616326",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"618273",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"624639",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"627288",0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"627462",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"630498",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"632493",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"933010",1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0
"996445",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
