"","enemy","licensed_content_video_games","destroy_devastate_wreck","army","shoot","weapon","horde_wave_mass","human_race_mankind","team_group_crew_squad","war","evil","defend","combat","multiplayer","action","strategy_tactics","attack","battle","move_special_move","dangerous"
"617322",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"622895",0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"623309",0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"623998",0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0
"978357",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"995078",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"997722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
